"SMILES","CASRN","RECORDID","MOLECULEID","NAME","ARTICLEID","PAGE","TABLE","ERROR","log(IGC50-1) {measured}","UNIT {log(IGC50-1)}","log(IGC50-1) {predicted by ochem.eu/model/3 in -log(mmol/L)}","log(IGC50-1) {measured, converted}","UNIT {log(IGC50-1)}","ASNN-STDEV{log(IGC50-1) by Toxicity against T. Pyriformis}","ASNN-CORREL{log(IGC50-1) by Toxicity against T. Pyriformis}","Dataset","HALOG","MW","N","NA","NH","O","PSA","S","SaaCH","aCNOS","SaasC","SsCH3","RBONDS","SssCH2","DONORS","SsNH2","SsNH2(al)","SsssCH","SsOH","SsOH(alc)","SssssC","SsNH2(ar)","ACCEPTORS","SssO","SsOH(phen)","SsCl","SdCH2","SdsCH","SsI","SsBr","SdO","SdO(keto)","SdO(nitro)","SdssC","StN","StsC","SsF","SdS","SsNH2(oth)","SddC","SssNH","SssNH(ar)","SaaN","SsssN","SdO(ester)","SdO(amid)","SssNH(oth)","SssS","StCH","SsSH","SdO(sulfo)","SdssS","SddssS","SdO(acid)","SssNH(al)","SaaaC","COMMENTS","INCHI_KEY"
"OCC1=CC=CC=C1","100-51-6","R33895","M12630","Benzyl alcohol","A1994","-","-","-","-0.83","-log(mmol/L)","-0.9653000235557556","-0.83","-log(mmol/L)","0.2015","0.2225","Train","0.0","108.0","0.0","8.0","8.0","1.0","20.2","0.0","9.52","6.0","0.965","0.0","1.0","0.14","1.0","0.0","0.0","0.0","8.54","8.54","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-","WVDDGKGOMKODPV-UHFFFAOYSA"
"CC(O)C1=CC=CC=C1","98-85-1","R33896","M12113","(Sec)phenethyl alcohol","A1994","-","-","-","-0.66","-log(mmol/L)","-0.59170001745224","-0.66","-log(mmol/L)","0.2218","0.06213","Train","0.0","122.0","0.0","9.0","10.0","1.0","20.2","0.0","9.59","6.0","0.97","1.76","1.0","0.0","1.0","0.0","0.0","-0.342","9.02","9.02","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-","WAPNOHKVXSQRPX-UHFFFAOYSA"
"CCC1=CC=C(CO)C=C1","768-59-2","R33897","M13784","4-Ethylbenzyl alcohol","A1994","-","-","-","0.07","-log(mmol/L)","-0.22439999878406525","0.07","-log(mmol/L)","0.1512","0.02999","Train","0.0","136.0","0.0","10.0","12.0","1.0","20.2","0.0","8.0","6.0","2.3","2.12","2.0","1.2","1.0","0.0","0.0","0.0","8.7","8.7","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-","YSLBFFIVJGJBSA-UHFFFAOYSA"
"CCCC(O)C1=CC=CC=C1","22144-60-1","R33898","M4011","(R+-)-1-Phenyl-1-butanol","A1994","-","-","-","-0.01","-log(mmol/L)","0.0185100007802248","-0.01","-log(mmol/L)","0.2252","0.056","Train","0.0","150.0","0.0","11.0","14.0","1.0","20.2","0.0","9.78","6.0","1.02","2.08","3.0","1.88","1.0","0.0","0.0","-0.277","9.52","9.52","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-","HQRWWHIETAKIMO-UHFFFAOYSA"
"OCC1=CC=C(C=C1)C1=CC=CC=C1","3597-91-9","R33899","M551","4-Biphenylmethanol","A1994","-","-","-","0.92","-log(mmol/L)","0.676800012588501","0.92","-log(mmol/L)","0.2905","0.2083","Train","0.0","184.0","0.0","14.0","12.0","1.0","20.2","0.0","18.2","12.0","3.34","0.0","2.0","0.106","1.0","0.0","0.0","0.0","8.9","8.9","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-","AXCHZLOJGKSWLV-UHFFFAOYSA"
"CCC1=CC=C(C=C1)C1=CC=CC=C1","5707-44-8","R33900","M10600","4-Ethylbiphenyl","A1994","-","-","-","1.97","-log(mmol/L)","1.590000033378601","1.97","-log(mmol/L)","0.3539","0.3295","Train","0.0","182.0","0.0","14.0","14.0","0.0","0.0","0.0","19.2","12.0","3.97","2.18","2.0","1.11","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-","SRQOBNUBCLPPPH-UHFFFAOYSA"
"C1=CC=C(C=C1)C1=CC=CC=C1","92-52-4","R33901","M14415","biphenyl","A1994","-","-","-","1.05","-log(mmol/L)","1.0570000410079956","1.05","-log(mmol/L)","0.2463","0.4914","Train","0.0","154.0","0.0","12.0","10.0","0.0","0.0","0.0","20.8","12.0","2.55","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-","ZUOUZKKEUPVFJK-UHFFFAOYSA"
"CC(O)(CC1=CC=CC=C1)C1=CC=CC=C1","5342-87-0","R33902","M9376","(?)-1,2-Diphenyl-2-propanol","A1994","-","-","-","0.8","-log(mmol/L)","0.9405999779701233","0.8","-log(mmol/L)","0.4324","0.2299","Train","0.0","212.0","0.0","16.0","16.0","1.0","20.2","0.0","19.8","12.0","2.11","1.86","3.0","0.637","1.0","0.0","0.0","0.0","10.4","10.4","-0.803","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-","QRKNKDBJZVZQNE-UHFFFAOYSA"
"CC(O)C(C1=CC=CC=C1)C1=CC=CC=C1","29338-49-6","R33903","M698","1,1-Diphenyl-2-propanol","A1994","-","-","-","0.75","-log(mmol/L)","0.960099995136261","0.75","-log(mmol/L)","0.335","0.2042","Train","0.0","212.0","0.0","16.0","16.0","1.0","20.2","0.0","20.3","12.0","2.31","1.84","3.0","0.0","1.0","0.0","0.0","-0.327","9.92","9.92","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-","BDZAWYBXBHTHFM-UHFFFAOYSA"
"CC1=C(C)C=C(N)C=C1","95-64-7","R33904","M2142","3,4-Dimethylaniline","A1994","-","","-","-0.16","-log(mmol/L)","-0.26980000734329224","-0.16","-log(mmol/L)","0.2611","0.007326","Train","0.0","121.0","1.0","9.0","11.0","0.0","26.0","0.0","5.93","6.0","3.4","4.14","0.0","0.0","2.0","5.53","0.0","0.0","0.0","0.0","0.0","5.53","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","DOLQYFPDPKPQSS-UHFFFAOYSA"
"NC1=CC(CO)=CC=C1","1877-77-6","R33905","M8008","3-Aminobenzyl alcohol","A1994","-","-","-","-1.13","-log(mmol/L)","-1.0499999523162842","-1.13","-log(mmol/L)","0.2525","0.003709","Train","0.0","123.0","1.0","9.0","9.0","1.0","46.2","0.0","7.19","6.0","1.55","0.0","1.0","0.0606","3.0","5.42","0.0","0.0","8.61","8.61","0.0","5.42","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-","OJZQOQNSUZLSMV-UHFFFAOYSA"
"CCCCOC1=CC=C(N)C=C1","4344-55-2","R33906","M10939","4-Butoxyaniline","A1994","-","-","-","0.61","-log(mmol/L)","0.3986999988555908","0.61","-log(mmol/L)","0.3288","0.438","Train","0.0","165.0","1.0","12.0","15.0","1.0","35.2","0.0","7.49","6.0","1.68","2.14","4.0","3.06","2.0","5.53","0.0","0.0","0.0","0.0","0.0","5.53","1.0","5.45","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-","UBRIHZOFEJHMIT-UHFFFAOYSA"
"CC1=CC=C(N)C=C1","106-49-0","R33907","M10196","4-methylaniline","A1994","-","-","-","-0.05","-log(mmol/L)","-0.3327000141143799","-0.05","-log(mmol/L)","0.2144","0.002015","Train","0.0","107.0","1.0","8.0","9.0","0.0","26.0","0.0","7.79","6.0","2.08","2.04","0.0","0.0","2.0","5.43","0.0","0.0","0.0","0.0","0.0","5.43","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-","RZXMPPFPUUCRFN-UHFFFAOYSA"
"CCC1=CC(N)=CC=C1","587-02-0","R33908","M284","3-Ethylaniline","A1994","-","-","-","-0.03","-log(mmol/L)","0.07373999804258347","-0.03","-log(mmol/L)","0.2486","0.005861","Train","0.0","121.0","1.0","9.0","11.0","0.0","26.0","0.0","7.96","6.0","2.16","2.12","1.0","1.06","2.0","5.53","0.0","0.0","0.0","0.0","0.0","5.53","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-","AMKPQMFZCBTTAT-UHFFFAOYSA"
"CCC1=CC=C(N)C=C1","589-16-2","R33909","M4030","4-ethylaniline","A1994","-","-","-","0.03","-log(mmol/L)","-0.10400000214576721","0.03","-log(mmol/L)","0.1778","0.002656","Train","0.0","121.0","1.0","9.0","11.0","0.0","26.0","0.0","7.96","6.0","2.18","2.13","1.0","1.08","2.0","5.48","0.0","0.0","0.0","0.0","0.0","5.48","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-","HRXZRAXKKNUKRF-UHFFFAOYSA"
"CC1=CC(N)=CC=C1","108-44-1","R33910","M5064","3-methylaniline","A1994","-","-","-","-0.28","-log(mmol/L)","-0.23260000348091125","-0.28","-log(mmol/L)","0.2605","0.002427","Train","0.0","107.0","1.0","8.0","9.0","0.0","26.0","0.0","7.8","6.0","2.05","2.02","0.0","0.0","2.0","5.46","0.0","0.0","0.0","0.0","0.0","5.46","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-","JJYPMNFTHPTTDI-UHFFFAOYSA"
"CC(C)C1=CC=CC(C(C)C)=C1N","24544-04-5","R33911","M12362","2,6-DIISOPROPYLANILINE","A1994","-","-","-","0.76","-log(mmol/L)","0.7448999881744385","0.76","-log(mmol/L)","0.4332","0.1327","Train","0.0","177.0","1.0","13.0","19.0","0.0","26.0","0.0","6.33","6.0","3.52","8.71","2.0","0.0","2.0","6.09","0.0","1.02","0.0","0.0","0.0","6.09","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-","WKBALTUBRZPIPZ-UHFFFAOYSA"
"CCC1=CC=CC=C1N","578-54-1","R33912","M6855","2-Ethylaniline","A1994","-","-","-","-0.22","-log(mmol/L)","0.04797999933362007","-0.22","-log(mmol/L)","0.2548","0.02816","Train","0.0","121.0","1.0","9.0","11.0","0.0","26.0","0.0","7.94","6.0","2.14","2.1","1.0","1.02","2.0","5.63","0.0","0.0","0.0","0.0","0.0","5.63","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-","MLPVBIWIRCKMJV-UHFFFAOYSA"
"CCC1=CC=CC(CC)=C1N","579-66-8","R33913","M2794","2,6-diethylaniline","A1994","-","-","-","0.31","-log(mmol/L)","0.424699991941452","0.31","-log(mmol/L)","0.2879","0.2408","Train","0.0","149.0","1.0","11.0","15.0","0.0","26.0","0.0","6.26","6.0","3.52","4.26","2.0","2.06","2.0","5.9","0.0","0.0","0.0","0.0","0.0","5.9","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-","FOYHNROGBXVLLX-UHFFFAOYSA"
"COC1=CC=C(O)C=C1","150-76-5","R33914","M7663","4-Methoxyphenol","A1994","-","-","-","-0.14","-log(mmol/L)","-0.29580000042915344","-0.14","-log(mmol/L)","0.2011","0.002427","Train","0.0","124.0","0.0","9.0","8.0","2.0","29.5","0.0","6.57","6.0","1.02","1.59","1.0","0.0","1.0","0.0","0.0","0.0","8.8","0.0","0.0","0.0","1.0","4.86","8.8","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-","NWVVVBRKAWDGAB-UHFFFAOYSA"
"CC1=CC(O)=CC(C)=C1C","527-54-8","R33915","M2520","3,4,5-Trimethylphenol","A1994","-","-","-","0.93","-log(mmol/L)","0.5012999773025513","0.93","-log(mmol/L)","0.3065","0.1019","Train","0.0","136.0","0.0","10.0","12.0","1.0","20.2","0.0","3.56","6.0","3.92","6.06","0.0","0.0","1.0","0.0","0.0","0.0","9.12","0.0","0.0","0.0","0.0","0.0","9.12","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-","FDQQNNZKEJIHMS-UHFFFAOYSA"
"ClCC1=CC=CC=C1","100-44-7","R33916","M5469","BENZYL CHLORIDE","A1994","-","-","-","0.06","-log(mmol/L)","0.30709999799728394","0.06","-log(mmol/L)","0.233","0.3155","Train","1.0","127.0","0.0","8.0","7.0","0.0","0.0","0.0","9.96","6.0","1.17","0.0","1.0","0.612","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","5.53","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-","KCXMKQUNVWSEMD-UHFFFAOYSA"
"COC1=CC=C(C)C=C1","104-93-8","R33917","M1349","4-Methylanisole","A1994","-","-","-","0.25","-log(mmol/L)","0.07645999640226364","0.25","-log(mmol/L)","0.2235","0.3082","Train","0.0","122.0","0.0","9.0","10.0","1.0","9.23","0.0","7.96","6.0","2.18","3.73","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","4.97","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-","CHLICZRVGGXEOD-UHFFFAOYSA"
"CC(C)(C)C1=CC=C(O)C=C1","98-54-4","R33918","M9142","4-(Tert)butylphenol","A1994","-","-","-","0.91","-log(mmol/L)","0.7490000128746033","0.91","-log(mmol/L)","0.2629","0.00554","Train","0.0","150.0","0.0","11.0","14.0","1.0","20.2","0.0","7.35","6.0","1.58","6.46","1.0","0.0","1.0","0.0","0.0","0.0","9.02","0.0","0.174","0.0","0.0","0.0","9.02","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-","QHPQWRBYOIRBIT-UHFFFAOYSA"
"COC1=CC=CC=C1","100-66-3","R33919","M9637","anisole","A1994","-","-","-","-0.1","-log(mmol/L)","-0.3720000088214874","-0.1","-log(mmol/L)","0.313","0.3662","Train","0.0","108.0","0.0","8.0","8.0","1.0","9.23","0.0","9.68","6.0","0.91","1.66","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","4.91","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-","RDOXTESZEPMUJZ-UHFFFAOYSA"
