SMILES,CASRN,RECORDID,MOLECULEID,NAME,ARTICLEID,PAGE,TABLE,AMES,Dataset,Cell strain,S9 metabolic bioactivation,COMMENTS,INCHI_KEY
CC(=O)C=O,-,R280903,M17545,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,AIJULSRZWUXGPQ-UHFFFAOYSA
ClC1=CC=C(C(Cl)=C1)N(=O)=O,-,R280904,M9442,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,QUIMTLZDMCNYGY-UHFFFAOYSA
CN(C)C1=CC=C(C=C1)C(=C1C=CC(C=C1)=[N+](C)C)C1=C(O)C(=CC2=C1C=CC(=C2)S(O)(=O)=O)S(O)(=O)=O,-,R280905,M81966,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,QEFJYMFUMVHTBR-UHFFFAOYSA
CC(=O)OC1=C(OC(C)=O)C2=C3C(=CC=C2N(=O)=O)C2=C(C=CC=C2)C2=C3C1=CC=C2,-,R280906,M14894,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,SLWANLQVLHQJPM-UHFFFAOYSA
CCCCCCCCCCCCC1=CC=CC=C1,-,R280907,M19143,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,KWKXNDCHNDYVRT-UHFFFAOYSA
CCC1=CC=CC(CC)=C1N(COC)C(=O)CO,-,R280908,M132203,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,CEFLNPUKMSWYFB-UHFFFAOYSA
CC1CC2=C(C3C(C=C(C)C2=O)C(CCC3=C)C(C)=C)C1=O,-,R280909,M132204,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,YTEYTHRWXHJPKG-UHFFFAOYSA
ClC1=CC(=CC=C1)N(=O)=O,-,R280910,M5679,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,KMAQZIILEGKYQZ-UHFFFAOYSA
OCC1=CC(=O)C(O)=CO1,-,R280911,M20961,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,BEJNERDRQOWKJM-UHFFFAOYSA
OC1=CC=C(Cl)C=C1,-,R280912,M12688,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,WXNZTHHGJRFXKQ-UHFFFAOYSA
O=C([C@H]1O[C@@H]1C1=CC=CC=C1)C1=CC=CC=C1,-,R280913,M120746,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,UQGMJZQVDNZRKT-HUUCEWRRSA
ONC1=CC=C(Cl)C=C1,-,R280914,M120780,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,VVQDMDRAUXFEND-UHFFFAOYSA
C[C@@H]1CCCC[C@H]1NC(=O)NC1=CC=CC=C1,-,R280915,M119738,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,JXVIIQLNUPXOII-DGCLKSJQSA
ClC1=CC=CC2=C1OC1=C2C=CC=C1,-,R280916,M132205,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,RHRYBWFAHXCUCR-UHFFFAOYSA
ClC1=CC(=CC(Cl)=C1Cl)N(=O)=O,-,R280917,M3812,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,HHLCSFGOTLUREE-UHFFFAOYSA
CC(=O)NC1=CC=C2C(CC3=CC(O)=CC=C23)=C1,-,R280918,M132206,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,RAYOKTUAMJNEFH-UHFFFAOYSA
COC1COC(COCC2COC(OC)C(OS(O)(=O)=O)C2OS(O)(=O)=O)C(OS(O)(=O)=O)C1OS(O)(=O)=O,-,R280919,M132207,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,HXPCYIRIFAYKEA-UHFFFAOYSA
OC(CC1=CN(N=O)C2=C1C=CC=C2)C(O)=O,-,R280920,M132208,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,BSAHBIFSJDNPFG-UHFFFAOYSA
COC(=O)NC1=NC2=C(N1)C=CC=C2,-,R280921,M52712,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,TWFZGCMQGLPBSX-UHFFFAOYSA
ClCC1=CC=CC2=C1C1=CC=CC3=CC=CC2=C13,-,R280922,M120025,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,YQWDZLYVEVNEIF-UHFFFAOYSA
CCCN(CCC)N=O,-,R280923,M13616,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,YLKFDHTUAUWZPQ-UHFFFAOYSA
BrCC(Br)C1=CC=CC=C1,-,R280824,M18071,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,SHKKTLSDGJRCTR-UHFFFAOYSA
C1CCC2OCCOCCOC3CCCCC3OCCOCCOCCOC2C1,-,R280825,M132188,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,IWFZLIOEAYLIQY-UHFFFAOYSA
CC1=C(C(=C(C(C)=C1N(=O)=O)N(=O)=O)C(C)(C)C)N(=O)=O,-,R280826,M13067,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,XMWRWTSZNLOZFN-UHFFFAOYSA
CC1=C(C)C(N)=C(C)C(C)=C1N,-,R280827,M72396,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,WCZNKVPCIFMXEQ-UHFFFAOYSA
N1C=CN=C1,-,R280828,M9590,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,RAXXELZNTBOGNW-UHFFFAOYSA
CC1=CC=CC=C1NS(=O)(=O)C1=CC=CC2=C1N=CC=C2,-,R280829,M132189,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,ZFLOTUDZIFQKAO-UHFFFAOYSA
OCC1=C2C=CC3=C(C=CC=C3)C2=C(CO)C2=C1C=CC=C2,-,R280830,M120388,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,QFWRHTYGECMMSX-UHFFFAOYSA
COC1=CC=CC(=C1)C(=O)CBr,-,R280831,M74884,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,IOOHBIFQNQQUFI-UHFFFAOYSA
CC1=CC=C2C=C3C(C=CC4=C3[C@H](O)[C@H](O)C=C4)=C3CCC1=C23,-,R280832,M119728,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,PLOSOTOGRJEVNA-WIYYLYMNSA
CC(=O)NC1=CC=CC2=C1N=CC(F)=C2,-,R280833,M132190,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,UOWTVKOENAIYMG-UHFFFAOYSA
NC1=CC=C(\C=C\C2=CC=CC(N)=C2)C=C1,-,R280834,M4756,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,IXGDBTKLQUHIAX-SNAWJCMRSA
CC(C)OC(=O)\C=C\C1=CC=C(O1)N(=O)=O,-,R280835,M54996,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,GLLASCKJCAXNHF-GQCTYLIASA
OC1=CC(=O)C(=O)C2=CC=CC=C12,-,R280836,M12629,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,WVCHIGAIXREVNS-UHFFFAOYSA
Cl\C=C/C[N+]12CN3CN(CN(C3)C1)C2,-,R280837,M132191,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,LDLCEGCJYSDJLX-UPHRSURJSA
CC1=CC=C(C=C1N(=O)=O)C(O)=O,-,R280838,M65203,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,BBEWSMNRCUXQRF-UHFFFAOYSA
C[C@]12CC[C@H]3[C@@H](CC[C@H]4C[C@H](CC[C@]34C)OC(=O)CC3=CC=C(C=C3)N(CCCl)CCCl)[C@@H]1CCC(=O)N2,-,R280839,M120519,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,JMZJBCNHUJOLER-AYQCGTONSA
ON1N=NC2=C1C=CC=C2,-,R280840,M27146,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,ASOKPJOREAFHNY-UHFFFAOYSA
CCC1=C(Br)C(Br)=C(Br)C(Br)=C1Br,-,R280841,M17761,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,FIAXCDIQXHJNIX-UHFFFAOYSA
O=C1C=CC(=O)C=C1,-,R280842,M614,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,AZQWKYJCGOJGHM-UHFFFAOYSA
ClCl,-,R280843,M32213,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,KZBUYRJDOAKODT-UHFFFAOYSA
OC1=CC=CC2=C1C=CC=C2,-,R280844,M5611,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,KJCVRFUGPWSIIH-UHFFFAOYSA
CC1=CC(O)=C2C(=O)C3=CC=CC=C3C(=O)C2=C1O,-,R280845,M120393,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,JXHLSZPLSSDYCF-UHFFFAOYSA
CC(C)CC(=O)OCC1=COC=C2C(C=O)=CC=C12,-,R280846,M120696,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,LTVSLKWNAZKBEX-UHFFFAOYSA
O[C@H]1[C@H]2O[C@]22C3=C(C4=C2C(=CC=C4)[C@@H]1O)C1=C(C=CC=C1)C=C3,-,R280847,M120231,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,BZFMVISIXFGYOM-NMLBUPMWSA
CCCCOCCOCCOCC1=CC2=C(OCO2)C=C1CCC,-,R280848,M2629,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,FIPWRIJSWJWJAI-UHFFFAOYSA
CC1=CC(OP(=O)(OC2=CC(C)=CC=C2)OC2=CC=CC(C)=C2)=CC=C1,-,R280849,M21783,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,RMLPZKRPSQVRAB-UHFFFAOYSA
ClCC(CCl)(CCl)CCl,-,R280850,M27987,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,KPZGRMZPZLOPBS-UHFFFAOYSA
OC1C=CC2=CC=C3C(SC4=C3C=CC=C4)=C2C1O,-,R280851,M132192,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,BYFVXOICIXESGI-UHFFFAOYSA
C=CC1=CC=NC=C1,-,R280852,M18322,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,KFDVPJUYSDEJTH-UHFFFAOYSA
CCCCCCCCC(Cl)CCC(Cl)CC(Cl)C(Cl)C(Cl)CC(=O)OC,-,R280853,M119990,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,MQZMWQYWEHKROQ-UHFFFAOYSA
COP(=O)(OC)OC1=CC=C(C(C)=C1)N(=O)=O,-,R280854,M26576,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,MJNAIAPNXYJWCT-UHFFFAOYSA
CC(C)NCC(O)C1=CC=C2C=CC=CC2=C1,-,R280855,M16988,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,HRSANNODOVBCST-UHFFFAOYSA
N[C@H]1CC[C@H](N)CC1,-,R280856,M121300,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,VKIRRGRTJUUZHS-IZLXSQMJSA
NC1=NC(NO)=C2NC=NC2=N1,-,R280857,M120730,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,UJUHACUYECLPGK-UHFFFAOYSA
O=C1OC2=C(C=CC=C2N(=O)=O)C2=CC=CC=C12,-,R280858,M132193,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,UGPKHPNHRLQNBO-UHFFFAOYSA
Cl[C@]12[C@]3(Cl)[C@@]4(Cl)[C@]5(Cl)[C@](Cl)([C@]1(Cl)C4(Cl)Cl)[C@@]2(Cl)C(Cl)(Cl)[C@]35Cl,-,R280859,M120360,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,GVYLCNUFSHDAAW-CCBFTTNNSA
NC(CS)C(=O)NCC(O)=O,-,R280860,M132194,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,ZUKPVRWZDMRIEO-UHFFFAOYSA
CNC(=O)ONC(C)=O,-,R280861,M120030,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,KJFYIRGNNOCTLS-UHFFFAOYSA
CC1=CC=C(C(N)=C1)N(=O)=O,-,R280862,M66997,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,IGDYNWKWXUCIJB-UHFFFAOYSA
CC1=CC=C2C=C3C(C4NC4C4=CC=CC=C34)=C3CCC1=C23,-,R280863,M14850,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,QHFPCKVRIBTAMD-UHFFFAOYSA
FC1=CC=NC2=C1C=CC=C2,-,R280864,M120505,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,IZCUJTLKJPQFSY-UHFFFAOYSA
CCN(CC)CCNC1=CC=C(C)C2=C1C(=O)C1=CC=CC=C1S2,-,R280865,M20718,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,FBQPGGIHOFZRGH-UHFFFAOYSA
CC1=CC=CC(C)=C1O,-,R280866,M7678,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,NXXYKOUNUYWIHA-UHFFFAOYSA
COCOC,-,R280867,M7382,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,NKDDWNXOKDWJAK-UHFFFAOYSA
NCCCS(=O)(=O)NC1=CC=C(NC2=C3C=CC(=CC3=NC3=C2C=CC(=C3)N=[N]#N)N=[N]#N)C=C1,-,R280868,M132195,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,WCVOECBZKKBSJH-UHFFFAOYSA
CCOC(=O)CNC(=O)C(C)(C)Br,-,R280869,M132196,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,YNFHETZVQGBFCQ-UHFFFAOYSA
OC1=CC=C(O)N=N1,-,R280870,M751,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,BGRDGMRNKXEXQD-UHFFFAOYSA
CC1=CC=CC(N)=C1C,-,R280871,M12003,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,VVAKEQGKZNKUSU-UHFFFAOYSA
OC1=CC=C(C(=C1)N(=O)=O)N(=O)=O,-,R280872,M228,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,AKLOLDQYWQAREW-UHFFFAOYSA
CC1=CC=CC=C1C#N,-,R280873,M7656,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,NWPNXBQSRGKSJB-UHFFFAOYSA
CC1=CC=C(NC2=CC=C(N)C3=C2C(=O)C2=CC=CC=C2C3=O)C(=C1)S(O)(=O)=O,-,R280774,M132170,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,IMOYUMWGJOTJTF-UHFFFAOYSA
OC1=CC=C2C=CC3=C4C(C=CC1=C24)=C(C=C3)N(=O)=O,-,R280775,M120285,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,RHXGKMNLLUKFLG-UHFFFAOYSA
CC1=CC(=O)C=C2CCC3C4CCC(=O)C4(C)CCC3C12C,-,R280776,M15706,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,PEPMWUSGRKINHX-UHFFFAOYSA
OC(CN=[N]#N)CN1C=NC2=C1N=CN=C2Cl,-,R280777,M132171,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,YUSOWJLULVIGMG-UHFFFAOYSA
O=C1C2=CC=CC=C2C2=CC=C3C(=O)C4=CC=CC=C4C4=CC=C1C2=C34,-,R280778,M19313,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,ZTWQZJLUUZHJGS-UHFFFAOYSA
CC1=C2C=CC(CO)=CC2=NC2=C1C=CC1=C2C=CC=C1,-,R280779,M132172,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,RFUAMQCKKXWCFF-UHFFFAOYSA
CC1=CC=C(C)C2=C1NC1=C2C=C(C=C1)N(=O)=O,-,R280780,M120175,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,OEENCKLKSYVWPU-UHFFFAOYSA
COC1=CC=C(C=C1)C(=O)N1N=CC(Cl)=C(Cl)C1=O,-,R280781,M132173,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,YMDJBSMXCVZKDP-UHFFFAOYSA
CCC1OC1C1=CC=CC=C1,-,R280782,M132174,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,BAFMBHJRYJBYQD-UHFFFAOYSA
CC(C)OC1=CC=C(NC2=CC=CC=C2)C=C1,-,R280783,M18382,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,CVVFFUKULYKOJR-UHFFFAOYSA
O=N(=O)C1=CC=C(O1)\C=N\N1C=CC=N1,-,R280784,M132175,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,DQXWSAXEIGMNAX-UXBLZVDNSA
O[C@@H]1CC(=O)C2=C(O)C=CC3=C2[C@]1(O)[C@@H]1CCC(=O)C2=C1C3=CC=C2O,-,R280785,M120962,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,IBJQWUOEZZLWJA-RRHAMDBCSA
O=N(=O)C1=CC2=C3C1=CC=CC3=CC1=C2C=CC2=C1C=CC=C2,-,R280786,M120059,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,GXXSOQPZXAEZHH-UHFFFAOYSA
OC(=O)CC1=CC=C(O)C(O)=C1,-,R280787,M18409,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,CFFZDZCDUFSOFZ-UHFFFAOYSA
ONC(=O)CNC(=O)C1=CC=CC=C1,-,R280788,M132176,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,WYFKHRKLNSAEBW-UHFFFAOYSA
FC(F)=C(F)Cl,-,R280789,M11369,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,UUAGAQFQZIEFAH-UHFFFAOYSA
CN1[C@@H](CSCC(F)(F)F)NC2=CC(Cl)=C(C=C2S1(=O)=O)S(N)(=O)=O,-,R280790,M121360,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,CYLWJCABXYDINA-JTQLQIEISA
O[C@@H]1C=CC2=C(C=CC3=C2C=C(C2=C3C=CC=C2)N(=O)=O)[C@H]1O,-,R280791,M120829,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,LZFRXTYVXJWZHG-QZTJIDSGSA
C1CN(CCO1)SSN1CCOCC1,-,R280792,M18451,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,HLBZWYXLQJQBKU-UHFFFAOYSA
CC(C)C(=O)N(O)C1=CC=C(Cl)C=C1,-,R280793,M132177,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,KRGWQBOHIMIWNB-UHFFFAOYSA
OCCN(CCO)C1=NC(=NC2=C1C=CC=C2)C1=CC=CS1,-,R280794,M119926,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,ZIJZEJQXPLFJIC-UHFFFAOYSA
OCCNCCN1C2=C(C(=O)C3=CC=CC=C23)C2=CC=CC=C2C1=O,-,R280795,M132178,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,LRHPCRBOMKRVOA-UHFFFAOYSA
CCOC(=O)CNC(=O)C=[N+]=N,-,R280796,M132179,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,SCBAGJGZALXMMC-UHFFFAOYSA
NC1=CC=C2C(C=CC3=C2C=CC=C3)=C1,-,R280797,M120456,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,ZEAWSFHWVLOENK-UHFFFAOYSA
C1C[C@H](O[C@H]2CC[C@@H]3O[C@H]23)[C@H]2O[C@@H]12,-,R280798,M119768,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,ADAHGVUHKDNLEB-KZZCMQFTSA
NC1=CC=C(OC2=CC=CC=C2)C=C1,-,R280799,M12487,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,WOYZXEVUWXQVNV-UHFFFAOYSA
NCCCN1CCN(CCCN)CC1,-,R280800,M31763,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,XUSNPFGLKGCWGN-UHFFFAOYSA
CCOC(=O)N(C)C,-,R280801,M10662,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,SUDHEDJJFGYYPL-UHFFFAOYSA
CC1=CC=CS1,-,R280802,M21664,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,XQQBUAPQHNYYRS-UHFFFAOYSA
Cl[Si](Cl)(Cl)Cl,-,R280803,M32281,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,FDNAPBUWERUEDA-UHFFFAOYSA
CO,-,R280804,M8028,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,OKKJLVBELUTLKV-UHFFFAOYSA
NC1=CC=C(Cl)C(=C1)C(F)(F)F,-,R280805,M66020,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,ASPDJZINBYYZRU-UHFFFAOYSA
CC=C,-,R280806,M9355,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,QQONPFPTGQHPMA-UHFFFAOYSA
CC1=CC=C(NC(=O)CBr)C=C1,-,R280807,M120584,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,PJQGCAMZLLGJBY-UHFFFAOYSA
CC(C)NC(=O)\C=C/C1=CC=C(O1)N(=O)=O,-,R280808,M132180,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,APOAEUBPCAZTDV-HYXAFXHYSA
COC1=CC=C(CNC(=O)C(C)Br)C=C1OC,-,R280809,M132181,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,UGPOMEGHGLOTDU-UHFFFAOYSA
OC1=CC=CC2=C1C=CC1=C2C=C2C=CC=C3C=CC1=C23,-,R280810,M120842,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,BKUPCMSCZRGJAI-UHFFFAOYSA
N[C@H](CN=[N+]=N)C(O)=O,-,R280811,M132182,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,FQEASCHWQKEETD-UWTATZPHSA
